"";BBSIS.M.I.ZAR.ZI.EUR.S1311.B.A604.R24XX.R.A.A._Z._Z.A;BBSIS.M.I.ZAR.ZI.EUR.S1311.B.A604.R24XX.R.A.A._Z._Z.A_FLAGS
"";Aus der Zinsstruktur abgeleitete Renditen für Bundeswertpapiere  mit jährl. Kuponzahlungen / RLZ 24 Jahre / Monatswerte;
Dezimalstellen;2;
Dimension;Eins;
Einheit;Prozent;
Einheit (englisch);percent;
Format der Zeitangabe;P1M;
Kategorie;GKZR;
Stand vom;02.01.2025 10:53:37 Uhr;
2000-01;6,00;
2000-02;5,85;
2000-03;5,60;
2000-04;5,64;
2000-05;5,47;
2000-06;5,49;
2000-07;5,44;
2000-08;5,47;
2000-09;5,58;
2000-10;5,57;
2000-11;5,45;
2000-12;5,37;
2001-01;5,36;
2001-02;5,31;
2001-03;5,33;
2001-04;5,55;
2001-05;5,72;
2001-06;5,63;
2001-07;5,48;
2001-08;5,43;
2001-09;5,52;
2001-10;5,15;
2001-11;5,14;
2001-12;5,37;
2002-01;5,29;
2002-02;5,35;
2002-03;5,60;
2002-04;5,53;
2002-05;5,51;
2002-06;5,32;
2002-07;5,27;
2002-08;5,04;
2002-09;4,93;
2002-10;5,17;
2002-11;5,10;
2002-12;4,88;
2003-01;4,71;
2003-02;4,75;
2003-03;4,85;
2003-04;4,89;
2003-05;4,53;
2003-06;4,72;
2003-07;4,88;
2003-08;4,85;
2003-09;4,82;
2003-10;5,00;
2003-11;5,03;
2003-12;4,91;
2004-01;4,95;
2004-02;4,80;
2004-03;4,74;
2004-04;4,93;
2004-05;4,96;
2004-06;4,94;
2004-07;4,86;
2004-08;4,72;
2004-09;4,63;
2004-10;4,53;
2004-11;4,40;
2004-12;4,31;
2005-01;4,05;
2005-02;4,16;
2005-03;4,16;
2005-04;3,98;
2005-05;3,84;
2005-06;3,69;
2005-07;3,70;
2005-08;3,62;
2005-09;3,66;
2005-10;3,83;
2005-11;3,83;
2005-12;3,63;
2006-01;3,78;
2006-02;3,77;
2006-03;4,01;
2006-04;4,24;
2006-05;4,25;
2006-06;4,35;
2006-07;4,22;
2006-08;4,06;
2006-09;3,87;
2006-10;3,92;
2006-11;3,88;
2006-12;4,08;
2007-01;4,23;
2007-02;4,11;
2007-03;4,25;
2007-04;4,40;
2007-05;4,55;
2007-06;4,72;
2007-07;4,53;
2007-08;4,57;
2007-09;4,64;
2007-10;4,51;
2007-11;4,55;
2007-12;4,69;
2008-01;4,52;
2008-02;4,53;
2008-03;4,60;
2008-04;4,70;
2008-05;4,87;
2008-06;4,93;
2008-07;4,79;
2008-08;4,59;
2008-09;4,64;
2008-10;4,41;
2008-11;3,88;
2008-12;3,74;
2009-01;4,05;
2009-02;4,00;
2009-03;4,05;
2009-04;4,12;
2009-05;4,46;
2009-06;4,32;
2009-07;4,17;
2009-08;4,05;
2009-09;4,02;
2009-10;4,12;
2009-11;4,01;
2009-12;4,17;
2010-01;4,00;
2010-02;3,93;
2010-03;3,87;
2010-04;3,74;
2010-05;3,39;
2010-06;3,32;
2010-07;3,42;
2010-08;2,71;
2010-09;2,94;
2010-10;3,12;
2010-11;3,25;
2010-12;3,54;
2011-01;3,68;
2011-02;3,68;
2011-03;3,88;
2011-04;3,82;
2011-05;3,63;
2011-06;3,78;
2011-07;3,44;
2011-08;3,12;
2011-09;2,76;
2011-10;2,99;
2011-11;3,09;
2011-12;2,52;
2012-01;2,65;
2012-02;2,59;
2012-03;2,62;
2012-04;2,53;
2012-05;1,98;
