"date","eu_price","eu_gdtr_l1","eu_gdtr_l2","eu_ndtr_l1","eu_ndtr_l2","eu_gdtr_s1","eu_gdtr_s2","eu_ndtr_s1","eu_ndtr_s2"
1975-01-01,100,100,100,100,100,100,100,100,100
1975-01-02,101.30169,101.30965,102.59596,101.30715,102.59123,98.73145,97.44113,98.73382,97.44586
1975-01-03,101.47697,101.48878,102.93625,101.48501,102.92928,98.59455,97.15114,98.59798,97.15797
1975-01-04,101.73847,101.75462,103.45362,101.74958,103.44399,98.37282,96.69497,98.3775,96.70424
1975-01-05,101.83828,101.85789,103.64186,101.85201,103.63022,98.30878,96.55031,98.31441,96.56143
1975-01-06,101.8013,101.82387,103.55154,101.81691,103.53804,98.37631,96.6647,98.38283,96.67758
1975-01-07,101.18772,101.21571,102.29568,101.20734,102.2789,98.99495,97.86389,99.00314,97.88014
1975-01-08,99.7351,99.76998,99.35359,99.75953,99.33307,100.44115,100.70623,100.45151,100.727
1975-01-09,101.79621,101.84043,103.4545,101.82712,103.42797,98.397,96.58575,98.40975,96.6109
1975-01-10,103.50902,103.56254,106.92934,103.54632,106.89677,96.77327,93.37717,96.78827,93.4063
1975-01-11,103.60563,103.66249,107.11104,103.64534,107.07637,96.71934,93.25288,96.73525,93.28375
1975-01-12,103.51393,103.57368,106.90328,103.55575,106.86668,96.84141,93.46809,96.85825,93.50077
1975-01-13,103.22563,103.28977,106.29186,103.27048,106.2529,97.14665,94.03708,97.16471,94.07221
1975-01-14,102.64375,102.71292,105.08001,102.69209,105.03804,97.72944,95.14461,97.74918,95.18321
1975-01-15,103.52431,103.60168,106.87377,103.57854,106.82649,96.92447,93.55626,96.94618,93.59838
1975-01-16,102.79431,102.87731,105.35392,102.85241,105.3036,97.64258,94.92193,97.66614,94.96792
1975-01-17,101.11263,101.20156,101.89771,101.17512,101.84451,99.27253,98.0706,99.29859,98.1222
1975-01-18,101.08791,101.17989,101.83073,101.15233,101.77574,99.3338,98.17067,99.36076,98.22408
1975-01-19,101.28546,101.3816,102.21314,101.35272,102.15564,99.1758,97.83746,99.20384,97.89292
1975-01-20,101.26093,101.35992,102.14646,101.3302,102.08715,99.23653,97.93651,99.26548,97.99379
1975-01-21,99.89698,100.00151,99.38481,99.97014,99.32297,100.60723,100.62066,100.63859,100.68348
1975-01-22,100.76811,100.88092,101.10953,100.84716,101.04226,99.76429,98.91236,99.7976,98.97854
1975-01-23,100.75829,100.8743,101.07199,100.83956,101.00292,99.81259,98.98632,99.84681,99.05432
1975-01-24,101.85527,101.98012,103.26423,101.94264,103.18905,98.75991,96.87657,98.79606,96.94765
1975-01-25,102.94243,103.07631,105.45996,103.0363,105.37849,97.73941,94.85313,97.77743,94.92713
1975-01-26,103.98336,104.12644,107.58385,104.08358,107.496,96.78438,92.97855,96.82423,93.05536
1975-01-27,104.89052,105.04259,109.45172,104.99701,109.35762,95.97308,91.39926,96.01472,91.47885
1975-01-28,105.40976,105.56885,110.52277,105.52118,110.42375,95.53215,90.53926,95.57536,90.62145
1975-01-29,109.07765,109.25212,118.20932,109.20005,118.09722,92.23847,84.27633,92.28287,84.35793
1975-01-30,106.70975,106.88904,113.06874,106.8354,112.95593,94.27045,87.9716,94.31801,88.06076
1975-01-31,108.17728,108.36788,116.17204,108.31072,116.05073,93.00298,85.58783,93.05214,85.67877
1975-02-01,108.60633,108.80353,117.0807,108.74451,116.95468,92.66483,84.94792,92.71533,85.04096
1975-02-02,108.72973,108.93058,117.32865,108.87051,117.20006,92.59197,84.79706,92.64334,84.89162
1975-02-03,108.61445,108.81858,117.06199,108.75761,116.93148,92.72216,85.01844,92.77448,85.11485
1975-02-04,110.29273,110.50877,120.67541,110.44432,120.53515,91.31364,82.41985,91.36743,82.51747
1975-02-05,112.28913,112.5187,125.04559,112.4501,124.89416,89.67695,79.45344,89.73209,79.55172
1975-02-06,111.78536,112.01953,123.91703,111.94951,123.76323,90.09715,80.18715,90.15389,80.28872
1975-02-07,111.43404,111.6721,123.1325,111.60111,122.97653,90.39518,80.7083,90.45325,80.81257
