"date","sim_l2","sim_l1","sim_s2","sim_s1","eu_index_l2","eu_index_l1","us_index_l2","us_index_l1","eu_index_s2","eu_index_s1","us_index_s2","us_index_s1"
1975-01-01,100,100,100,100,100,100,100,100,100,100,100,100
1975-01-02,102.590072765486,101.297024479095,98.3045045631587,99.3062750197001,102.59123,101.30715,102.00994,101.01744,97.44113,98.73145,98.02585,99.02464
1975-01-03,102.926931744534,101.466797301901,96.507499970937,98.1556379919881,102.92928,101.48501,103.39503,101.71558,97.15114,98.59455,96.72961,98.38127
1975-01-04,103.440438895827,101.721304741756,95.8651136526759,97.8060071477352,103.44399,101.74958,104.04927,102.04981,96.69497,98.37282,96.15299,98.09932
1975-01-05,103.625465454321,101.813566958903,95.5709014039622,97.6392401727292,103.63022,101.85201,104.34779,102.20866,96.55031,98.30878,95.91281,97.98804
1975-01-06,103.53209049388,101.768861129943,95.4894739391872,97.5732303836849,103.53804,101.81691,104.39778,102.24491,96.6647,98.37631,95.89988,97.99197
1975-01-07,102.271824737538,101.147758950769,95.1579936185096,97.1526487136627,102.2789,101.20734,104.23334,102.17538,97.86389,98.99495,96.08108,98.09435
1975-01-08,99.3250149939175,99.6905702784646,97.767135436978,98.4660620972997,99.33307,99.75953,101.33745,100.76395,100.70623,100.44115,98.76716,99.47241
1975-01-09,103.418433511517,101.746059134802,95.0559296938115,97.3266251580795,103.42797,101.82712,104.60692,102.40022,96.58575,98.397,95.60905,97.89199
1975-01-10,106.885716879941,103.453082948653,90.9256540782613,95.0557278291856,106.89677,103.54632,108.83931,104.4827,93.37717,96.77327,91.76817,95.9354
1975-01-11,107.064061390905,103.541799356405,90.8883050498071,95.060518751219,107.07637,103.64534,108.95165,104.54777,93.25288,96.71934,91.70197,95.91031
1975-01-12,106.853156512853,103.442322850482,91.2218201459283,95.2662890336414,106.86668,103.55575,108.63584,104.4074,93.46809,96.84141,91.99625,96.07372
1975-01-13,106.238217642284,103.146895249552,91.9326890828348,95.6742374938017,106.2529,103.27048,107.88521,104.05789,94.03708,97.14665,92.66033,96.43005
1975-01-14,105.022296090113,102.559823118013,93.8711970922192,96.8416366725309,105.03804,102.69209,105.98373,103.15177,95.14461,97.72944,94.31985,97.30294
1975-01-15,106.809262669204,103.433888703954,92.8939708228759,96.4486508676609,106.82649,103.57854,107.3371,103.82129,93.55626,96.92447,93.14289,96.70543
1975-01-16,105.285382223793,102.696743005056,92.6249960561862,96.0370310079367,105.3036,102.85241,107.05177,103.69399,94.92193,97.64258,93.41799,96.85746
1975-01-17,101.825672255906,101.011363362685,95.3610699096563,97.4069212538971,101.84451,101.17512,103.78622,102.12307,98.0706,99.27253,96.29329,98.35726
