"date","us_price","us_gdtr_l1","us_gdtr_l2","us_ndtr_l1","us_ndtr_l2","us_gdtr_s1","us_gdtr_s2","us_ndtr_s1","us_ndtr_s2"
1975-01-01,100,100,100,100,100,100,100,100,100
1975-01-02,101.01201,101.01973,102.01453,101.01744,102.00994,99.02464,98.02585,99.02693,98.03043
1975-01-03,101.70544,101.71988,103.4037,101.71558,103.39503,98.38127,96.72961,98.38549,96.73799
1975-01-04,102.03637,102.05552,104.06083,102.04981,104.04927,98.09932,96.15299,98.10488,96.16398
1975-01-05,102.19247,102.21555,104.36176,102.20866,104.34779,97.98804,95.91281,97.99472,95.92597
1975-01-06,102.22618,102.25288,104.41396,102.24491,104.39778,97.99197,95.89988,97.99969,95.91507
1975-01-07,102.15415,102.1844,104.25169,102.17538,104.23334,98.09435,96.08108,98.1031,96.0983
1975-01-08,100.73791,100.77501,101.35969,100.76395,101.33745,99.47241,98.76716,99.48336,98.78892
1975-01-09,102.36833,102.41378,104.63451,102.40022,104.60692,97.89199,95.60905,97.90504,95.63464
1975-01-10,104.44483,104.49882,108.8727,104.4827,108.83931,95.9354,91.76817,95.95038,91.79701
1975-01-11,104.50726,104.56501,108.9874,104.54777,108.95165,95.91031,91.70197,95.92631,91.73274
1975-01-12,104.36431,104.42574,108.67382,104.4074,108.63584,96.07372,91.99625,96.09077,92.02909
1975-01-13,104.01181,104.07749,107.92567,104.05789,107.88521,96.43005,92.66033,96.44838,92.69573
1975-01-14,103.10127,103.17322,106.0277,103.15177,105.98373,97.30294,94.31985,97.32332,94.35951
1975-01-15,103.76586,103.84487,107.38567,103.82129,107.3371,96.70543,93.14289,96.72754,93.18565
1975-01-16,103.63602,103.71863,107.1025,103.69399,107.05177,96.85746,93.41799,96.88064,93.46287
1975-01-17,102.06088,102.1495,103.83987,102.12307,103.78622,98.35726,96.29329,98.38281,96.34344
1975-01-18,102.04502,102.1372,103.79353,102.10971,103.73774,98.40412,96.3667,98.43071,96.4189
1975-01-19,102.25184,102.3483,104.20125,102.31953,104.14276,98.23576,96.01861,98.26349,96.07294
1975-01-20,102.23491,102.33492,104.15235,102.30508,104.0917,98.28406,96.0945,98.31282,96.15087
1975-01-21,101.68578,101.79059,103.02235,101.75933,102.95916,98.84296,97.16856,98.8734,97.22852
1975-01-22,103.18665,103.30095,106.05496,103.26686,105.98513,97.41824,94.34557,97.45054,94.40831
1975-01-23,103.66352,103.78388,107.02448,103.74798,106.95061,96.99807,93.51349,97.0318,93.57871
1975-01-24,104.97727,105.10738,109.732,105.06858,109.65122,95.7959,91.1776,95.83149,91.24559
1975-01-25,106.21213,106.35209,112.30825,106.31036,112.22043,94.69582,89.06603,94.73326,89.13673
1975-01-26,107.3721,107.52191,114.75569,107.47724,114.66073,93.68819,87.15348,93.72743,87.22682
1975-01-27,108.42884,108.58835,117.00778,108.5408,116.90573,92.79348,85.47174,92.83448,85.54763
1975-01-28,109.38232,109.55126,119.05832,109.50089,118.94935,92.00454,84.00168,92.04722,84.08002
1975-01-29,111.15749,111.33756,122.91767,111.28388,122.79973,90.53532,81.30365,90.57943,81.38332
1975-01-30,109.6397,109.82525,119.55367,109.76994,119.43376,91.79661,83.55384,91.84326,83.63916
1975-01-31,110.75193,110.94785,121.97381,110.88945,121.846,90.89002,81.88799,90.93831,81.97545
1975-02-01,111.40118,111.60498,123.39426,111.54423,123.26054,90.38309,80.95939,90.43276,81.04883
1975-02-02,111.85626,112.06653,124.39019,112.00384,124.25165,90.04054,80.33071,90.09139,80.42191
1975-02-03,111.96629,112.18086,124.61917,112.11688,124.47766,89.97965,80.20726,90.03145,80.30008
1975-02-04,111.66288,111.88134,123.92938,111.8162,123.7857,90.2501,80.67495,90.30312,80.77021
1975-02-05,113.5966,113.82732,128.22217,113.75852,128.06792,88.70204,77.89663,88.7562,77.99226
1975-02-06,113.03285,113.26811,126.93857,113.19797,126.78207,89.16579,78.6979,89.22155,78.79682
1975-02-07,113.13427,113.37386,127.15224,113.30242,126.99272,89.11048,78.58694,89.16716,78.68744
1975-02-08,113.04981,113.2932,126.9479,113.22063,126.78598,89.20179,78.73472,89.25947,78.83705
1975-02-09,112.81985,113.06701,126.41763,112.99331,126.25356,89.40782,79.08512,89.46663,79.18967
1975-02-10,112.74465,112.99561,126.23398,112.92078,126.0675,89.49331,79.22254,89.55312,79.32893
1975-02-11,113.06282,113.3194,126.93314,113.24289,126.76244,89.26642,78.80676,89.32724,78.91467
1975-02-12,114.99667,115.26626,131.27061,115.18587,131.08833,87.76168,76.1362,87.8235,76.24402
1975-02-13,116.57063,116.853,134.85997,116.76879,134.66657,86.58183,74.07586,86.64488,74.18435
1975-02-14,117.27889,117.5702,136.49017,117.48333,136.28945,86.07811,73.20117,86.14239,73.31111
1975-02-15,117.27736,117.57279,136.47059,117.48467,136.26705,86.10374,73.23216,86.16895,73.34368
1975-02-16,116.86721,117.16668,135.50226,117.07737,135.29668,86.42869,73.77228,86.49524,73.8865
1975-02-17,116.45626,116.75972,134.5356,116.66923,134.32802,86.75652,74.31922,86.82443,74.43618
1975-02-18,116.45555,116.7631,134.51844,116.67138,134.30807,86.78143,74.34922,86.85026,74.46778
1975-02-19,117.19269,117.50958,136.21315,117.41507,135.99507,86.25447,73.43343,86.32453,73.55335
