date,days,world_eu_price,world_eu_ndtr_l1,world_eu_gdtr_l1,world_eu_ndtr_l2,world_eu_gdtr_l2
1975-01-01,365,100,100,100,100,100
1975-01-02,365,100.766,100.772,100.774,101.521,101.525
1975-01-03,365,100.964,100.975,100.978,101.908,101.914
1975-01-04,365,100.957,100.971,100.976,101.879,101.887
1975-01-05,365,100.897,100.914,100.92,101.743,101.753
1975-01-06,365,100.882,100.902,100.908,101.697,101.708
1975-01-07,365,100.434,100.459,100.467,100.785,100.8
1975-01-08,365,99.876,99.908,99.917,99.66,99.678
1975-01-09,365,101.353,101.392,101.403,102.599,102.621
1975-01-10,365,102.62,102.667,102.68,105.154,105.181
1975-01-11,365,102.798,102.849,102.864,105.504,105.534
1975-01-12,365,102.914,102.969,102.985,105.726,105.758
1975-01-13,365,102.9,102.958,102.975,105.678,105.712
1975-01-14,365,102.738,102.8,102.817,105.328,105.364
1975-01-15,365,103.355,103.424,103.444,106.582,106.622
1975-01-16,365,103.213,103.285,103.306,106.271,106.313
1975-01-17,365,102.705,102.783,102.806,105.214,105.259
1975-01-18,365,102.553,102.635,102.658,104.886,104.933
1975-01-19,365,102.515,102.6,102.624,104.79,104.839
1975-01-20,365,102.555,102.643,102.668,104.854,104.905
1975-01-21,365,101.82,101.913,101.94,103.34,103.393
1975-01-22,365,102.209,102.309,102.337,104.117,104.175
1975-01-23,365,102.358,102.462,102.492,104.405,104.465
1975-01-24,365,103.907,104.02,104.052,107.555,107.621
1975-01-25,365,104.89,105.011,105.045,109.579,109.651
1975-01-26,365,105.714,105.844,105.88,111.291,111.368
1975-01-27,365,106.681,106.818,106.858,113.315,113.397
1975-01-28,365,107.641,107.787,107.828,115.343,115.431
1975-01-29,365,110.93,111.088,111.133,122.38,122.479
1975-01-30,365,110.035,110.199,110.246,120.394,120.495
1975-01-31,365,110.791,110.963,111.013,122.038,122.145
1975-02-01,365,110.93,111.106,111.157,122.326,122.436
1975-02-02,365,110.938,111.118,111.169,122.324,122.436
1975-02-03,365,110.917,111.1,111.153,122.259,122.373
1975-02-04,365,112.173,112.366,112.421,125.02,125.141
1975-02-05,365,113.641,113.844,113.902,128.29,128.419
1975-02-06,365,113.821,114.029,114.089,128.688,128.821
1975-02-07,365,114.098,114.312,114.373,129.308,129.445
1975-02-08,365,114.178,114.396,114.458,129.482,129.622
1975-02-09,365,114.2,114.421,114.485,129.523,129.665
1975-02-10,365,114.148,114.373,114.437,129.396,129.54
1975-02-11,365,114.005,114.233,114.298,129.066,129.212
1975-02-12,365,115.433,115.672,115.74,132.306,132.461
1975-02-13,365,116.686,116.935,117.006,135.18,135.343
1975-02-14,365,116.79,117.044,117.116,135.415,135.581
1975-02-15,365,116.735,116.992,117.065,135.28,135.448
1975-02-16,365,116.514,116.775,116.849,134.763,134.934
1975-02-17,365,116.213,116.479,116.555,134.066,134.239
1975-02-18,365,115.578,115.849,115.926,132.606,132.782
1975-02-19,365,116.358,116.639,116.719,134.407,134.591
1975-02-20,365,117.333,117.624,117.707,136.671,136.863
1975-02-21,365,117.43,117.726,117.81,136.899,137.094
1975-02-22,365,117.191,117.491,117.576,136.342,136.539
1975-02-23,365,116.8,117.105,117.192,135.434,135.634
1975-02-24,365,116.228,116.538,116.626,134.111,134.313
1975-02-25,365,114.414,114.728,114.818,129.923,130.124
1975-02-26,365,115.532,115.856,115.949,132.454,132.664
1975-02-27,365,116.099,116.433,116.528,133.747,133.964
1975-02-28,365,117.241,117.586,117.684,136.367,136.593
