date,days,world_us_price,world_us_ndtr_l1,world_us_gdtr_l1,world_us_ndtr_l2,world_us_gdtr_l2
1975-01-01,365,100,100,100,100,100
1975-01-02,365,100.621,100.627,100.628,101.228,101.232
1975-01-03,365,101.384,101.396,101.399,102.751,102.759
1975-01-04,365,101.451,101.466,101.471,102.869,102.878
1975-01-05,365,101.451,101.469,101.474,102.849,102.859
1975-01-06,365,101.511,101.532,101.538,102.953,102.965
1975-01-07,365,101.638,101.663,101.67,103.196,103.21
1975-01-08,365,101.129,101.16,101.168,102.159,102.177
1975-01-09,365,102.147,102.184,102.195,104.206,104.228
1975-01-10,365,103.801,103.845,103.858,107.572,107.599
1975-01-11,365,103.944,103.993,104.007,107.855,107.884
1975-01-12,365,104.008,104.059,104.074,107.97,108.001
1975-01-13,365,103.928,103.983,103.999,107.788,107.82
1975-01-14,365,103.419,103.48,103.497,106.723,106.759
1975-01-15,365,103.801,103.867,103.887,107.499,107.539
1975-01-16,365,104.31,104.383,104.404,108.543,108.587
1975-01-17,365,103.928,104.007,104.029,107.739,107.786
1975-01-18,365,103.783,103.866,103.89,107.425,107.474
1975-01-19,365,103.753,103.838,103.863,107.346,107.397
1975-01-20,365,103.801,103.889,103.915,107.43,107.482
1975-01-21,365,103.928,104.02,104.047,107.678,107.733
1975-01-22,365,104.946,105.045,105.074,109.774,109.834
1975-01-23,365,105.582,105.688,105.719,111.095,111.159
1975-01-24,365,107.363,107.478,107.511,114.835,114.906
1975-01-25,365,108.49,108.613,108.649,117.237,117.314
1975-01-26,365,109.427,109.558,109.596,119.251,119.334
1975-01-27,365,110.543,110.682,110.723,121.674,121.763
1975-01-28,365,111.942,112.09,112.133,124.744,124.84
1975-01-29,365,113.341,113.498,113.545,127.855,127.958
1975-01-30,365,113.341,113.502,113.549,127.836,127.941
1975-01-31,365,113.723,113.89,113.939,128.685,128.794
1975-02-01,365,114.075,114.248,114.299,129.469,129.583
1975-02-02,365,114.41,114.59,114.642,130.217,130.336
1975-02-03,365,114.613,114.799,114.852,130.666,130.788
1975-02-04,365,113.85,114.041,114.097,128.916,129.041
1975-02-05,365,115.249,115.45,115.509,132.082,132.216
1975-02-06,365,115.377,115.581,115.641,132.358,132.494
1975-02-07,365,116.14,116.353,116.415,134.101,134.243
1975-02-08,365,116.432,116.652,116.716,134.765,134.912
1975-02-09,365,116.622,116.846,116.911,135.19,135.34
1975-02-10,365,116.776,117.005,117.072,135.532,135.685
1975-02-11,365,116.903,117.137,117.204,135.81,135.966
1975-02-12,365,118.302,118.546,118.617,139.053,139.218
1975-02-13,365,120.211,120.466,120.54,143.531,143.707
1975-02-14,365,120.719,120.983,121.059,144.735,144.917
1975-02-15,365,120.757,121.024,121.102,144.807,144.992
1975-02-16,365,120.608,120.879,120.958,144.434,144.621
1975-02-17,365,120.338,120.614,120.694,143.772,143.963
1975-02-18,365,119.447,119.729,119.811,141.636,141.829
1975-02-19,365,120.338,120.629,120.713,143.738,143.939
1975-02-20,365,121.355,121.656,121.744,146.16,146.37
1975-02-21,365,121.991,122.301,122.391,147.683,147.899
1975-02-22,365,121.971,122.284,122.375,147.614,147.833
1975-02-23,365,121.724,122.042,122.134,147.003,147.224
1975-02-24,365,121.355,121.679,121.773,146.102,146.327
1975-02-25,365,120.211,120.539,120.634,143.338,143.564
1975-02-26,365,121.228,121.567,121.665,145.755,145.99
1975-02-27,365,122.5,122.85,122.951,148.806,149.051
1975-02-28,365,123.518,123.878,123.983,151.27,151.524
1975-03-01,365,123.9,124.267,124.374,152.193,152.454
1975-03-02,365,124.281,124.657,124.766,153.119,153.386
1975-03-03,365,124.663,125.046,125.157,154.048,154.321
1975-03-04,365,125.044,125.435,125.549,154.98,155.259
1975-03-05,365,124.536,124.932,125.047,153.713,153.995
1975-03-06,365,125.68,126.088,126.207,156.532,156.825
1975-03-07,365,126.189,126.606,126.727,157.79,158.09
1975-03-08,365,126.529,126.953,127.076,158.628,158.934
1975-03-09,365,126.779,127.21,127.334,159.242,159.552
1975-03-10,365,126.825,127.26,127.385,159.34,159.653
1975-03-11,365,126.062,126.502,126.629,157.416,157.731
1975-03-12,365,125.299,125.744,125.872,155.509,155.826
1975-03-13,365,125.172,125.621,125.75,155.179,155.498
1975-03-14,365,125.808,126.266,126.399,156.749,157.076
1975-03-15,365,126.209,126.676,126.811,157.741,158.075
1975-03-16,365,126.507,126.981,127.118,158.474,158.814
1975-03-17,365,126.571,127.049,127.186,158.617,158.96
1975-03-18,365,125.808,126.29,126.429,156.697,157.042
1975-03-19,365,125.172,125.659,125.8,155.108,155.454
1975-03-20,365,124.154,124.646,124.787,152.58,152.926
1975-03-21,365,123.645,124.142,124.285,151.322,151.67
1975-03-22,365,122.854,123.355,123.5,149.379,149.727
1975-03-23,365,121.718,122.223,122.368,146.612,146.959
1975-03-24,365,120.974,121.483,121.629,144.811,145.159
1975-03-25,365,121.483,122.001,122.15,146.022,146.377
1975-03-26,365,123.263,123.797,123.951,150.298,150.67
1975-03-27,365,123.9,124.443,124.6,151.841,152.222
1975-03-28,365,123.9,124.447,124.604,151.823,152.206
1975-03-29,365,123.932,124.482,124.641,151.885,152.27
1975-03-30,365,124.001,124.555,124.715,152.036,152.424
1975-03-31,365,124.027,124.584,124.745,152.083,152.474
1975-04-01,365,123.263,123.825,123.987,150.205,150.596
1975-04-02,365,123.263,123.829,123.991,150.188,150.581
1975-04-03,365,122.373,122.942,123.106,148.012,148.405
1975-04-04,365,121.355,121.927,122.092,145.545,145.937
1975-04-05,365,121.139,121.716,121.881,145.017,145.411
1975-04-06,365,121.039,121.619,121.785,144.763,145.159
1975-04-07,365,121.101,121.685,121.852,144.896,145.295
1975-04-08,365,121.483,122.075,122.245,145.802,146.208
1975-04-09,365,123.136,123.744,123.919,149.768,150.19
